"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|CH","Actual Total Load [MW] - BZN|CH"
"01.01.2021 00:00 - 01.01.2021 01:00","7467","7361"
"01.01.2021 01:00 - 01.01.2021 02:00","7750","7460"
"01.01.2021 02:00 - 01.01.2021 03:00","7437","7513"
"01.01.2021 03:00 - 01.01.2021 04:00","7652","7655"
"01.01.2021 04:00 - 01.01.2021 05:00","6686","7543"
"01.01.2021 05:00 - 01.01.2021 06:00","6466","7437"
"01.01.2021 06:00 - 01.01.2021 07:00","6417","7428"
"01.01.2021 07:00 - 01.01.2021 08:00","6407","7437"
"01.01.2021 08:00 - 01.01.2021 09:00","6564","7293"
"01.01.2021 09:00 - 01.01.2021 10:00","7354","7459"
"01.01.2021 10:00 - 01.01.2021 11:00","7440","7579"
"01.01.2021 11:00 - 01.01.2021 12:00","7354","7769"
"01.01.2021 12:00 - 01.01.2021 13:00","7935","7605"
"01.01.2021 13:00 - 01.01.2021 14:00","7528","7638"
"01.01.2021 14:00 - 01.01.2021 15:00","7435","7962"
"01.01.2021 15:00 - 01.01.2021 16:00","7435","7900"
"01.01.2021 16:00 - 01.01.2021 17:00","7831","7547"
"01.01.2021 17:00 - 01.01.2021 18:00","7813","7133"
"01.01.2021 18:00 - 01.01.2021 19:00","8014","7376"
"01.01.2021 19:00 - 01.01.2021 20:00","7901","7497"
"01.01.2021 20:00 - 01.01.2021 21:00","7450","7320"
"01.01.2021 21:00 - 01.01.2021 22:00","7722","7085"
"01.01.2021 22:00 - 01.01.2021 23:00","7793","7104"
"01.01.2021 23:00 - 02.01.2021 00:00","7680","7041"
"02.01.2021 00:00 - 02.01.2021 01:00","7785","7298"
"02.01.2021 01:00 - 02.01.2021 02:00","6876","7646"
"02.01.2021 02:00 - 02.01.2021 03:00","6746","7778"
"02.01.2021 03:00 - 02.01.2021 04:00","7004","7755"
"02.01.2021 04:00 - 02.01.2021 05:00","6493","7710"
"02.01.2021 05:00 - 02.01.2021 06:00","6954","7592"
"02.01.2021 06:00 - 02.01.2021 07:00","6913","7588"
"02.01.2021 07:00 - 02.01.2021 08:00","7480","7571"
"02.01.2021 08:00 - 02.01.2021 09:00","7249","7633"
"02.01.2021 09:00 - 02.01.2021 10:00","7128","7540"
"02.01.2021 10:00 - 02.01.2021 11:00","7474","7559"
"02.01.2021 11:00 - 02.01.2021 12:00","7430","7688"
"02.01.2021 12:00 - 02.01.2021 13:00","7431","7553"
"02.01.2021 13:00 - 02.01.2021 14:00","7651","7499"
"02.01.2021 14:00 - 02.01.2021 15:00","7432","7780"
"02.01.2021 15:00 - 02.01.2021 16:00","8490","7913"
"02.01.2021 16:00 - 02.01.2021 17:00","7792","7704"
"02.01.2021 17:00 - 02.01.2021 18:00","9202","7531"
"02.01.2021 18:00 - 02.01.2021 19:00","8139","7853"
"02.01.2021 19:00 - 02.01.2021 20:00","8245","7892"
"02.01.2021 20:00 - 02.01.2021 21:00","7878","7572"
"02.01.2021 21:00 - 02.01.2021 22:00","7442","7380"
"02.01.2021 22:00 - 02.01.2021 23:00","7503","7391"
"02.01.2021 23:00 - 03.01.2021 00:00","7524","7815"
"03.01.2021 00:00 - 03.01.2021 01:00","7795","7935"
"03.01.2021 01:00 - 03.01.2021 02:00","7187","8032"
"03.01.2021 02:00 - 03.01.2021 03:00","7584","7982"
"03.01.2021 03:00 - 03.01.2021 04:00","7304","7901"
"03.01.2021 04:00 - 03.01.2021 05:00","7041","7791"
"03.01.2021 05:00 - 03.01.2021 06:00","7369","7625"
"03.01.2021 06:00 - 03.01.2021 07:00","7172","7586"
"03.01.2021 07:00 - 03.01.2021 08:00","7118","7516"
"03.01.2021 08:00 - 03.01.2021 09:00","7751","7302"
"03.01.2021 09:00 - 03.01.2021 10:00","7751","7353"
